행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수
사직동,1.23,11181.7368,348.72,2450.5190000000002,6622.7057,1759.7921,264.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
삼청동,1.49,3955.7911,558.9607,1050.4131,1716.7830000000001,629.6343,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
부암동,2.27,10231.3793,744.8383,1946.2462999999998,5387.9186,2152.3761,306.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
평창동,8.87,17295.1528,1169.5429,2883.5715,9332.4074,3909.631,485.0,8.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,18.0
무악동,0.36,5914.8541,434.9992,1137.3527,3108.9253000000003,1233.5769,313.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
교남동,0.35,5748.7078,290.7773,1241.173,3242.617,974.1405,336.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0
가회동,0.54,3229.6829,132.0328,530.6750999999999,1908.9465,658.0285,168.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
종로1.2.3.4가동,2.35,28094.7355,1124.9362,9265.3669,14436.1998,3268.2326,368.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0
종로5.6가동,0.6,7972.8141,402.7415,2457.3157,3853.9239,1258.833,243.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0
이화동,0.78,28208.9365,1308.0536,9079.3792,14731.662599999998,3089.8411,281.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0
혜화동,1.12,29192.9834,3553.8594000000003,13295.1148,9395.6876,2948.3216,555.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0
창신1동,0.31,8970.8119,186.4106,1990.6885,5248.071,1545.6418,264.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
창신2동,0.26,6901.5767,275.0144,1564.386,3502.6953000000003,1559.481,487.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
창신3동,0.23,3944.2521,170.5651,837.3877,2124.5919,811.7074,333.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
숭인1동,0.23,7043.7798,222.5969,1779.6304,3531.5398,1510.0127,297.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
숭인2동,0.35,10690.3299,288.5179,4129.040300000001,4718.2629,1554.5088,411.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0
청운효자동,2.57,12790.5501,888.8558,2516.4181,7210.703699999999,2174.5725,408.0,,,,,,,,,,,
소공동,0.95,6690.4483,653.7578,1485.8318,4071.9533,478.9054,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
회현동,0.84,8584.4706,288.62080000000003,1747.1588,5344.0485,1204.6425,250.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
명동,0.99,12846.7398,536.9105999999999,3919.9815,7186.646700000001,1203.201,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0
필동,1.14,8453.1079,709.4156,2822.1235,3798.0946999999996,1123.4741,178.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
장충동,1.36,7332.1453,479.023,3213.7642,2840.0663,799.2918,181.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
광희동,0.74,15359.9509,749.2575999999999,5295.9429,7537.433499999999,1777.3169,207.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
을지로동,0.6,7868.0084,224.5462,2809.21,4044.5273,789.7249,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
신당동,0.55,21455.2208,425.19140000000004,5931.5935,12448.904600000002,2649.5313,385.0,1.0,1.0,3.0,1.0,1.0,19.0,0.0,0.0,4.0,0.0,30.0
다산동,0.51,11941.6795,498.8157,3039.5657,6202.5832,2200.7149,610.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
