행정동,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
사직동,0,0,0,0,0,0,0,0,1,1,2
삼청동,0,0,0,0,0,0,0,0,0,2,2
부암동,0,0,0,0,0,0,0,0,1,2,3
평창동,8,1,0,0,0,0,0,0,2,7,18
무악동,0,0,0,0,0,0,0,0,0,5,5
교남동,0,0,0,0,0,0,0,0,1,7,8
가회동,0,0,0,0,0,0,0,0,0,4,4
종로1.2.3.4가동,0,0,0,0,0,0,1,0,1,3,5
종로5.6가동,0,0,0,0,0,0,3,0,2,3,8
이화동,1,0,0,0,0,0,1,0,0,6,8
혜화동,0,0,0,0,0,0,0,0,1,6,7
창신1동,0,0,0,0,0,0,0,0,1,3,4
창신2동,0,0,0,0,0,0,0,0,0,2,2
창신3동,0,0,0,0,0,0,0,0,0,4,4
숭인1동,0,0,0,0,0,0,0,0,0,3,3
숭인2동,0,0,0,0,0,0,1,1,1,5,8
소공동,0,0,0,0,0,0,0,0,0,2,2
회현동,0,0,0,0,0,0,0,0,0,4,4
명동,0,0,0,0,3,0,0,0,0,1,4
필동,0,0,0,0,0,0,0,0,0,1,1
장충동,0,0,0,0,0,0,0,0,0,2,2
광희동,0,0,0,0,0,0,0,0,1,2,3
을지로동,0,0,0,0,0,0,0,0,0,1,1
신당동,1,1,0,0,4,0,3,1,1,19,30
다산동,0,0,0,0,0,0,0,0,1,0,1
약수동,0,0,0,0,0,0,0,0,0,0,0
청구동,0,0,0,0,0,0,0,0,0,0,0
신당5동,0,0,0,0,0,0,0,0,0,4,4
동화동,0,0,0,0,0,0,0,0,0,6,6
황학동,0,0,0,0,0,0,0,0,0,3,3
중림동,0,0,0,0,2,0,0,0,0,5,7
후암동,0,0,0,0,0,0,1,0,1,5,7
용산2가동,0,0,0,0,0,0,0,0,2,3,5
남영동,0,0,0,0,0,0,0,0,1,3,4
청파동,0,0,0,0,0,0,1,0,1,5,7
원효로1동,0,0,0,0,0,0,0,0,1,6,7
원효로2동,0,0,0,0,0,0,2,0,2,7,11
효창동,2,0,0,0,4,0,0,0,2,7,15
용문동,0,0,0,0,0,0,1,0,1,5,7
한강로동,0,0,0,0,0,0,2,0,2,10,14
이촌1동,0,0,0,0,0,0,1,0,3,9,13
이촌2동,0,0,0,0,0,0,1,0,2,5,8
이태원1동,0,0,0,0,0,0,1,0,1,4,6
이태원2동,0,0,0,0,0,0,0,0,0,4,4
한남동,1,0,0,0,0,0,1,0,1,6,9
서빙고동,0,0,0,0,1,0,0,0,0,5,6
보광동,0,0,0,0,0,0,0,0,0,9,9
왕십리도선동,0,0,0,0,0,0,2,0,3,10,15
왕십리2동,0,0,0,0,0,0,1,0,1,14,16
마장동,0,0,0,0,4,1,1,0,0,15,21
사근동,0,0,0,0,0,0,1,0,0,8,9
행당1동,0,0,0,0,0,0,0,0,1,6,7
행당2동,0,0,0,0,0,0,0,0,1,10,11
응봉동,0,0,0,0,0,0,0,0,0,9,9
금호1가동,0,0,0,0,0,0,1,0,0,7,8
금호2.3가동,0,0,0,0,0,0,1,0,2,12,15
금호4가동,0,0,0,0,0,0,0,0,0,10,10
옥수동,0,0,0,0,0,0,0,0,1,15,16
성수1가1동,0,0,0,0,0,0,0,0,2,13,15
성수1가2동,0,0,0,0,0,0,1,0,0,8,9
성수2가1동,0,0,0,0,0,0,0,0,0,8,8
성수2가3동,0,0,0,0,0,0,0,0,1,10,11
송정동,0,0,0,0,0,0,1,0,0,6,7
용답동,1,0,0,0,0,0,1,0,0,4,6
화양동,1,0,0,0,0,0,0,0,0,4,5
군자동,2,0,0,0,0,0,1,0,0,5,8
중곡1동,0,0,0,0,0,0,3,0,0,2,5
중곡2동,0,0,0,0,0,0,0,0,1,2,3
중곡3동,0,0,0,0,0,0,0,0,1,2,3
