행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수,인구밀도,노인비율,장애인비율,노인시설수,장애인시설수,시설당_노인수,시설당_장애인수,노인복지점수,장애인복지점수,최종복지점수
사직동,1.23,11181.7368,348.72,2450.519,6622.7057,1759.7921,264.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,9090.84292682927,15.73809267268748,2.3609927931768167,2.0,0.0,879.89605,,20.790289438227813,9.773390741356726,20.258459943129907
삼청동,1.49,3955.7911,558.9607,1050.4131,1716.783,629.6343,102.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2654.893355704698,15.916773259336168,2.5784981416233026,2.0,0.0,314.81715,,10.364514464746112,3.816245609811639,9.804347606382784
부암동,2.27,10231.3793,744.8383,1946.2463,5387.9186,2152.3761,306.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4507.215550660793,21.037008177382297,2.990799099785109,3.0,0.0,717.4587,,27.149361263588172,9.04780901758146,25.627616560959254
평창동,8.87,17295.1528,1169.5429,2883.5715,9332.4074,3909.631,485.0,8.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,18.0,1949.8481172491547,22.605356802629693,2.8042539178954233,18.0,0.0,217.2017222222222,,38.28683122008407,9.835824241368657,35.50702700960814
무악동,0.36,5914.8541,434.9992,1137.3527,3108.9253000000003,1233.5769,313.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,16430.15027777778,20.855576133314937,5.291761972624143,5.0,0.0,246.71538,,28.36417489141109,21.668323193499205,29.6014234584556
교남동,0.35,5748.7078,290.7773,1241.173,3242.617,974.1405,336.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,16424.87942857143,16.945382056120508,5.844791763463783,8.0,0.0,121.7675625,,21.86046948053909,23.27551046506644,24.310037526973613
가회동,0.54,3229.6829,132.0328,530.6750999999999,1908.9465,658.0285,168.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5980.894259259258,20.37439960436983,5.201749063352319,4.0,0.0,164.507125,,18.110722219324614,12.821925771228273,18.629765259026215
종로1.2.3.4가동,2.35,28094.7355,1124.9362,9265.3669,14436.1998,3268.2326,368.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,11955.20659574468,11.632900405842939,1.3098539404295158,5.0,0.0,653.64652,,26.463100864646176,10.755808175588959,25.424740965293147
종로5.6가동,0.6,7972.8141,402.7415,2457.3157,3853.9239,1258.833,243.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,13288.0235,15.789067501272857,3.0478573431180345,8.0,0.0,157.354125,,20.284939222880457,13.573126361317211,20.696415054938683
이화동,0.78,28208.9365,1308.0536,9079.3792,14731.662599999998,3089.8411,281.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,36165.303205128206,10.953412228071768,0.9961382273309027,8.0,0.0,386.2301375,,38.78095231080301,23.509447345872953,39.09666057105941
혜화동,1.12,29192.9834,3553.8594000000003,13295.1148,9395.6876,2948.3216,555.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,26065.16375,10.09941861577601,1.9011417654558733,7.0,0.0,421.1888,,30.89832188136954,23.629873433598217,32.261123703739756
창신1동,0.31,8970.8119,186.4106,1990.6885,5248.071,1545.6418,264.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,28938.10290322581,17.229675721993456,2.9428774445710983,4.0,0.0,386.41045,,33.0567641904716,23.23693487142002,34.04967563207328
창신2동,0.26,6901.5767,275.0144,1564.386,3502.6953000000003,1559.481,487.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,26544.525769230768,22.59601056089111,7.056358585422952,2.0,0.0,779.7405,,38.4911778169625,34.555893096446965,41.39672930112483
창신3동,0.23,3944.2521,170.5651,837.3877,2124.5919,811.7074,333.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,17148.922173913044,20.579500990821558,8.442665214021181,4.0,0.0,202.92685,,25.878620223878766,29.561556958922115,29.261062619734055
숭인1동,0.23,7043.7798,222.5969,1779.6304,3531.5398,1510.0127,297.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,30625.12956521739,21.43753414892385,4.21648615420942,3.0,0.0,503.33756666666665,,39.134520094030265,27.668290187863576,40.36544552059567
숭인2동,0.35,10690.3299,288.5179,4129.040300000001,4718.2629,1554.5088,411.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0,30543.799714285717,14.541261257054378,3.844596040015565,8.0,0.0,194.3136,,30.66958035956386,28.54322861487353,33.19723158347365
소공동,0.95,6690.4483,653.7578,1485.8318,4071.9533,478.9054,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,7042.577157894737,7.158046494432966,0.5829205794774619,2.0,0.0,239.4527,,1.0,1.0,1.0
회현동,0.84,8584.4706,288.62080000000003,1747.1588,5344.0485,1204.6425,250.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,10219.607857142859,14.032810596380862,2.9122354965022534,4.0,0.0,301.160625,,15.93670485355235,11.496674155149925,16.43064999146387
명동,0.99,12846.7398,536.9105999999999,3919.9815,7186.646700000001,1203.201,104.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,12976.504848484848,9.36580812510891,0.809543912456295,1.0,3.0,1203.201,34.666666666666664,11.672447246158267,6.152646916576982,11.483002460593957
필동,1.14,8453.1079,709.4156,2822.1235,3798.0947,1123.4741,178.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7415.006929824563,13.290663189097584,2.105734389123319,1.0,0.0,1123.4741,,12.857513617669962,6.835670808323947,12.67265152461559
장충동,1.36,7332.1453,479.023,3213.7642,2840.0663,799.2918,181.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5391.283308823529,10.901199680262746,2.468581739644467,2.0,0.0,399.6459,,6.68778385870398,6.466488043070355,7.21539948742435
광희동,0.74,15359.9509,749.2575999999999,5295.9429,7537.433499999999,1777.3169,207.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,20756.690405405407,11.571110556089083,1.347660557951393,3.0,0.0,592.4389666666667,,22.51731535304242,13.730444426732353,22.67648214886702
을지로동,0.6,7868.0084,224.5462,2809.21,4044.5273,789.7249,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13113.347333333333,10.037163915585042,1.1311630018086916,1.0,0.0,789.7249,,10.08863174837979,6.732903791997914,10.238056354353338
신당동,0.55,21455.2208,425.1914,5931.5935,12448.904600000002,2649.5313,385.0,1.0,1.0,3.0,1.0,1.0,19.0,0.0,0.0,4.0,0.0,30.0,39009.49236363636,12.34912157137996,1.79443504025836,26.0,4.0,101.90505,96.25,39.5409915578748,28.672299419247803,40.951342693556924
