행정동,면적(㎢),총생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수_x,남자70세이상생활인구수_x,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수_x,여자70세이상생활인구수_x,총 노인 인구수,남자65세부터69세생활인구수_y,남자70세이상생활인구수_y,여자65세부터69세생활인구수_y,여자70세이상생활인구수_y,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
사직동,1.23,11181.7368,156.149,260.2544,369.7153,482.5187,610.0331,559.973,666.2281,596.1333,531.0057,367.2593,229.176,524.7041,192.571,428.0304,431.3879,478.6123,642.7979,640.1903,574.5635,520.1719,511.6647,402.6849,222.5025,783.4095,1759.7921,229.176,524.7041,222.5025,783.4095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
삼청동,1.49,3955.7911,510.7616,490.0317,163.5711,116.3161,178.9498,153.8093,197.1016,133.5461,143.1073,96.7916,53.2712,204.3923,48.1991,73.2776,102.4712,104.7454,157.7729,158.1419,131.5682,154.1532,106.6664,105.1747,104.8353,267.1355,629.6343,53.2712,204.3923,104.8353,267.1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
부암동,2.27,10231.3793,367.8615,336.5307,286.5032,255.2289,301.2674,436.6127,415.8513,416.5901,415.4364,335.005,230.4887,598.2749,376.9768,382.3429,351.745,333.8956,454.7673,561.1088,595.8828,465.7312,597.229,392.4366,355.3054,968.3071,2152.3761,230.4887,598.2749,355.3054,968.3071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
평창동,8.87,17295.1528,599.9309,663.4204,402.1189,395.5647,445.3685,624.0556,695.3371,816.218,703.947,711.2365,492.5162,980.7207,569.612,486.3574,467.8513,468.2588,655.2711,834.9704,1054.6301,935.6597,996.2816,859.4318,628.4349,1807.9592,3909.631,492.5162,980.7207,628.4349,1807.9592,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,18.0
무악동,0.36,5914.8541,173.7804,169.006,154.3427,161.6471,186.8454,284.1847,240.9396,275.6905,271.2864,199.8382,159.036,354.6413,261.2188,240.3162,204.6801,207.3606,269.5134,282.8124,325.571,282.9544,243.621,245.6683,208.6139,511.2857,1233.5769,159.036,354.6413,208.6139,511.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
교남동,0.35,5748.7078,122.5879,160.5753,176.1116,195.1603,227.6445,277.4902,312.4822,284.2104,266.8862,164.837,144.903,238.0475,168.1894,246.9939,216.3377,245.9942,295.456,326.3973,300.768,268.6936,278.3144,239.4372,156.0495,435.1405,974.1405,144.903,238.0475,156.0495,435.1405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0
가회동,0.54,3229.6829,61.0919,55.5399,74.2385,106.564,162.5706,168.9878,163.421,168.6654,169.5493,102.3157,57.346,171.213,70.9409,89.1676,98.1561,107.009,136.8228,152.5486,187.2332,173.683,185.305,137.8441,94.3366,335.1329,658.0285,57.346,171.213,94.3366,335.1329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
종로1.2.3.4가동,2.35,28094.7355,439.719,1406.2359,1846.1719,1582.4439,1882.2302,1602.4118,1712.616,1679.0768,1314.9452,899.5632,572.3621,1036.3523,685.2172,1908.2089,1406.0387,1116.2676,1257.2119,882.0571,1054.8829,784.0292,737.9177,629.2578,438.7371,1220.7811,3268.2326,572.3621,1036.3523,438.7371,1220.7811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0
종로5.6가동,0.6,7972.8141,222.5352,340.6744,404.8475,353.1284,407.672,379.7455,409.5367,324.3226,378.7469,296.6163,227.0992,313.4486,180.2063,593.5566,455.6292,309.4796,305.6635,248.9169,198.0606,309.1989,305.2821,290.1619,188.838,529.4472,1258.833,227.0992,313.4486,188.838,529.4472,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,8.0
이화동,0.78,28208.9365,431.2967,1339.0206,1188.0791,1266.8242,1590.4374,1561.2254,1258.3634,1021.2245,949.457,601.9112,342.4946,802.3022,876.7569,1786.3932,1927.2698,1571.7923,1858.1853,1545.796,1380.9276,1151.6772,1027.7211,784.7365,541.4982,1403.5461,3089.8411,342.4946,802.3022,541.4982,1403.5461,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0
혜화동,1.12,29192.9834,1656.8239,2950.398,1797.2949,776.8355,791.9598,682.8026,797.511,795.2836,840.6337,503.2528,359.6073,776.1149,1897.0355,4922.2088,1982.1228,866.2548,852.2111,816.7697,989.3151,891.8426,782.5929,651.5127,478.6773,1333.9221,2948.3216,359.6073,776.1149,478.6773,1333.9221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0
창신1동,0.31,8970.8119,102.0451,293.2934,309.486,314.9828,441.7728,483.0803,523.6617,385.6241,437.5154,368.3479,255.4674,448.1799,84.3655,450.3272,317.79,304.8091,329.352,316.4966,496.2756,522.7948,537.2987,405.8511,300.3862,541.6083,1545.6418,255.4674,448.1799,300.3862,541.6083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
창신2동,0.26,6901.5767,141.3965,282.9152,261.0155,203.6427,166.2557,246.6311,201.1838,287.0065,432.9063,372.9811,240.3569,429.2198,133.6179,382.8221,236.0101,197.9804,278.1617,179.6129,201.5153,311.9313,458.9501,365.5595,263.2947,626.6096,1559.481,240.3569,429.2198,263.2947,626.6096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
창신3동,0.23,3944.2521,73.6115,133.8758,116.7967,121.0805,161.731,183.7169,166.694,189.0634,196.0279,182.6795,107.9036,231.063,96.9536,135.6477,153.7509,176.2361,193.2263,152.9159,150.0767,139.2876,214.0615,195.1112,116.3372,356.4036,811.7074,107.9036,231.063,116.3372,356.4036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
숭인1동,0.23,7043.7798,117.5172,253.8617,279.6477,275.9467,346.263,308.4311,296.8982,333.7192,326.8145,294.7447,184.6747,447.3072,105.0797,366.0143,326.4149,277.7451,302.2124,261.2769,239.5353,240.2304,317.2325,264.1816,200.4883,677.5425,1510.0127,184.6747,447.3072,200.4883,677.5425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
숭인2동,0.35,10690.3299,110.5178,392.1718,574.5091,518.8663,522.1197,354.549,403.6531,399.7028,433.5356,348.7606,243.9578,459.9426,178.0001,1085.7862,970.619,587.0879,515.7869,341.6125,338.2499,335.9065,393.7605,330.6258,208.7456,641.8628,1554.5088,243.9578,459.9426,208.7456,641.8628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,8.0
청운효자동,2.57,12790.5501,438.254,439.5471,441.5872,447.7214,514.7986,498.7933,693.2158,599.8469,546.3324,335.3413,215.9447,577.9241,450.6018,300.7384,378.4425,508.3815,696.4344,701.1398,768.9187,714.1397,605.7187,536.0241,340.0591,1040.6446,2174.5725,215.9447,577.9241,340.0591,1040.6446,,,,,,,,,,,
소공동,0.95,6690.4483,32.6211,148.1097,245.615,360.8786,495.3666,536.9422,516.7504,500.4099,338.8393,161.8448,110.2343,148.3599,621.1367,184.7432,263.1979,283.2874,353.9989,323.837,344.3942,186.1723,184.6998,128.6979,59.9564,160.3548,478.9054,110.2343,148.3599,59.9564,160.3548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
회현동,0.84,8584.4706,113.3144,168.4046,286.0232,411.8428,544.1266,663.6433,629.1631,558.1755,502.6614,288.2929,201.7398,367.6429,175.3064,279.8112,281.7784,319.2986,379.5039,399.2598,445.6143,339.109,317.6387,276.86,172.8937,462.3661,1204.6425,201.7398,367.6429,172.8937,462.3661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
명동,0.99,12846.7398,237.8942,561.0644,636.845,648.5704,757.1904,985.8217,972.2788,742.1287,591.0801,386.871,202.9746,322.0475,299.0164,807.5735,696.1605,569.7677,643.165,463.5743,601.0388,407.7428,376.1196,259.6355,180.7289,497.45,1203.201,202.9746,322.0475,180.7289,497.45,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
필동,1.14,8453.1079,399.6411,660.4554,374.3917,383.1983,415.8682,353.5427,479.9018,393.4963,397.7141,204.4928,141.18,299.2833,309.7745,630.5624,453.8223,319.6934,322.6314,309.3543,301.0501,231.6371,224.0571,164.3488,138.3387,544.6721,1123.4741,141.18,299.2833,138.3387,544.6721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
장충동,1.36,7332.1453,246.1751,833.1837,478.0339,280.1602,310.1231,279.7655,293.0924,246.186,254.8099,170.033,95.1605,248.1004,232.8479,970.3184,399.1277,252.9403,272.545,242.5887,191.986,226.0543,191.6474,161.235,138.3498,317.6811,799.2918,95.1605,248.1004,138.3498,317.6811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
